episode,volleys,max_reward,avg_reward,ent_coef
1,15,1.2000003,0.13000044,0.01998
2,18,1.4200006,0.34500045,0.019960000000000002
3,9,0.37000015,-0.15999974,0.01994
4,10,0.55000025,-0.09499967,0.01992
5,17,1.3200005,0.23500052,0.0199
6,20,1.6200005,0.46500042,0.019880000000000002
7,15,0.95000046,0.12000042,0.01986
8,16,1.1800005,0.20500049,0.01984
9,16,1.1400006,0.24000052,0.01982
10,16,1.1200006,0.18000051,0.0198
11,20,1.5600007,0.42500052,0.01978
12,22,1.8700006,0.5100006,0.01976
13,13,0.86000055,0.030000508,0.01974
14,17,1.2300005,0.2850004,0.01972
15,23,1.9600006,0.68000054,0.0197
16,21,1.7800004,0.4600005,0.01968
17,29,2.5700002,0.9600003,0.01966
18,23,1.9200007,0.5750005,0.01964
19,18,1.4900005,0.28500053,0.01962
20,20,1.6700004,0.40000048,0.0196
21,27,2.43,0.8000003,0.01958
22,25,2.1700003,0.6800004,0.01956
23,28,2.52,0.85000026,0.01954
24,21,1.7900004,0.4600005,0.01952
25,22,1.8300006,0.5250006,0.0195
26,31,2.8499997,1.0100001,0.01948
27,33,3.0999992,1.1299999,0.01946
28,27,2.52,0.8000003,0.01944
29,25,2.2600002,0.6800004,0.01942
30,29,2.6299999,0.9050002,0.0194
31,28,2.58,0.84500027,0.01938
32,25,2.1400003,0.6900004,0.01936
33,31,2.8899996,1.0250001,0.01934
34,32,2.9799993,1.1249999,0.01932
35,31,2.8399997,1.125,0.0193
36,36,3.3599992,1.4099997,0.01928
37,26,2.3500001,0.7800003,0.01926
38,27,2.5,0.9550003,0.01924
39,36,3.4599988,1.3999996,0.01922
40,30,2.8199995,1.025,0.0192
41,26,2.39,0.95000017,0.01918
42,30,2.7599998,1.1200001,0.01916
43,37,3.509999,1.3949997,0.01914
44,37,3.569999,1.4049997,0.019119999999999998
45,35,3.3799992,1.4549997,0.0191
46,33,3.1499994,1.2349999,0.01908
47,32,2.9799995,1.19,0.01906
48,35,3.3299992,1.3449999,0.019039999999999998
49,30,2.8699996,1.2999997,0.01902
50,37,3.579999,1.5749997,0.019
51,40,3.8699985,1.6349995,0.01898
52,35,3.419999,1.6699995,0.01896
53,33,3.1699991,1.4599996,0.01894
54,37,3.6099987,1.7499994,0.01892
55,31,2.9399996,1.4749998,0.0189
56,35,3.3899992,1.6249994,0.01888
57,35,3.3199992,1.8399998,0.01886
58,39,3.7999988,2.0649993,0.01884
59,33,3.1399994,1.5699997,0.01882
60,39,3.8299985,2.2499995,0.0188
61,29,2.7199998,1.54,0.01878
62,35,3.399999,1.9199996,0.01876
63,30,2.8799996,1.9700003,0.018740000000000003
64,35,3.3799992,1.9649998,0.01872
65,41,3.9399986,2.2299995,0.0187
66,37,3.5699987,2.1799996,0.01868
67,37,3.579999,2.3999999,0.018660000000000003
68,38,3.7099986,2.5649996,0.01864
69,32,3.0399992,1.9749999,0.01862
70,37,3.5399988,2.2799997,0.0186
71,39,3.7699986,2.7949996,0.018580000000000003
72,36,3.5099988,2.4699998,0.01856
73,36,3.4799988,2.455,0.01854
74,39,3.7599986,2.7399998,0.018520000000000002
75,35,3.399999,2.635,0.018500000000000003
76,41,3.9499984,2.6749995,0.01848
77,35,3.319999,2.6749997,0.01846
78,39,3.7399986,2.7449996,0.01844
79,35,3.3599992,2.52,0.018420000000000002
80,41,3.9899983,2.8599997,0.0184
81,41,3.9899983,2.5699995,0.01838
82,36,3.4599988,2.6099997,0.01836
83,34,3.1999993,2.48,0.018340000000000002
